Year,Luminous,Oil Production,NGLs
2012,38224188.49,8926.461541,2408.147541
2013,48893641.35,10098.679,2605.8
2014,73210851.19,11801.44834,3014.575342
2015,71177228.08,12780.99701,3342.263014
2016,59074104.02,12348.54117,3509.243169
2017,75320925.98,13134.85366,3783.024658
2018,75174363.14,15359.94371,4369.476712
2019,73247149.96,17044.6017,4813.013699
2020,70783073.67,12833,
