Year,Luminous,Oil Production,NGLs
2012,5895725.944,3809.756148,412.0403005
2013,6561057.814,3609.229863,417.6326027
2014,7492177.47,3714.137123,441.1535616
2015,7508261.397,3852.759885,460.5406849
2016,8380478.163,4578.22101,488.0407104
2017,11132672.09,5007.335342,537.3353425
2018,10186741.93,4800.698082,540.6980822
2019,9313171.162,3534.571781,554.5717808
2020,9823501.51,2018,
