Year,Luminous,Oil Production,NGLs
2012,6967147.117,11621.79428,1634.996469
2013,7656124.446,11392.92663,1518.118416
2014,7986423.828,11518.82272,1577.355601
2015,9197425.354,11997.93798,1577.666752
2016,9087272.109,12406.04761,1717.847608
2017,11448810.47,11892.19826,1717.036262
2018,11313819.06,12261.33334,1728.333342
2019,11184389.24,11832.31924,1687.319243
2020,11789941.51,9733,
