Year,Luminous,Oil Production,NGLs
2012,16860163.38,3859.869534,609.5548392
2013,18491843.41,4127.940755,641.9622098
2014,59113686.55,4418.059568,660.5404152
2015,77611469.78,4572.266772,709.3148819
2016,55455165.98,4655.475875,787.2535413
2017,79449692.75,5037.332018,821.0879723
2018,66099771.9,5500.678681,904.2373748
2019,65159487.06,5650.772745,963.0195507
2020,59562327.25,4575,
